Timestamp,temperature,humidity,pressure,voc,pir
2026-03:16 10:49:30,32.92,76.76,101073,128.31,0
2026-03:16 10:49:40,32.60,77.45,101074,93.66,0
2026-03:16 10:49:50,32.35,77.68,101074,74.80,0
2026-03:16 10:50:00,32.16,77.69,101075,64.10,0
2026-03:16 10:50:10,32.01,77.89,101076,56.94,0
2026-03:16 10:50:21,31.90,77.86,101076,51.32,0
2026-03:16 10:50:31,31.82,77.96,101076,47.57,0
2026-03:16 10:50:41,31.76,78.02,101078,44.62,0
2026-03:16 10:50:51,31.72,77.94,101078,42.30,0
2026-03:16 10:51:02,31.68,77.77,101078,40.21,0
2026-03:16 10:51:12,31.64,77.79,101078,38.74,0
2026-03:16 10:51:22,31.62,77.84,101078,37.64,0
2026-03:16 10:51:32,31.59,77.81,101078,36.51,0
2026-03:16 10:51:43,31.57,77.77,101079,35.50,0
2026-03:16 10:51:53,31.55,77.80,101079,34.74,0
2026-03:16 10:52:03,31.54,77.90,101080,33.96,0
2026-03:16 10:52:13,31.52,77.89,101079,33.30,0
2026-03:16 10:52:23,31.51,77.97,101079,32.71,0
2026-03:16 10:52:34,31.50,77.98,101079,32.35,0
2026-03:16 10:52:44,31.49,78.00,101080,31.75,0
2026-03:16 10:52:54,31.49,78.02,101081,31.30,0
2026-03:16 10:53:04,31.49,78.02,101082,30.94,1
2026-03:16 10:53:15,31.49,78.00,101082,30.62,1
2026-03:16 10:53:25,31.49,78.02,101081,30.36,1
2026-03:16 10:53:35,31.49,77.97,101081,29.95,1
2026-03:16 10:53:45,31.49,78.00,101082,29.72,1
2026-03:16 10:53:56,31.48,78.06,101082,29.52,0
2026-03:16 10:54:06,31.48,78.07,101082,29.25,0
2026-03:16 10:54:16,31.48,78.05,101082,29.07,0
2026-03:16 10:54:26,31.48,78.06,101082,28.95,0
2026-03:16 10:54:37,31.48,78.07,101082,28.68,0
2026-03:16 10:54:47,31.48,78.07,101083,28.52,0
2026-03:16 10:54:57,31.49,78.07,101083,28.37,0
2026-03:16 10:55:07,31.49,78.05,101084,28.30,0
2026-03:16 10:55:17,31.49,78.09,101084,28.09,0
2026-03:16 10:55:28,31.50,78.05,101083,28.03,0
2026-03:16 10:55:38,31.50,78.07,101083,27.89,0
2026-03:16 10:55:48,31.50,78.07,101083,27.89,0
